symbol,rsi_threshold,macd_threshold,disp_threshold,btc_dom_threshold,volume_ratio,stop_loss,take_profit,trades,win_rate,avg_return
TRBUSDT,35,0.0,-1.0,60,1.3,0.05,0.1,24,41.66666666666667,-0.0023928182437731316
TRBUSDT,35,0.0,-1.0,65,1.3,0.05,0.1,24,41.66666666666667,-0.0023928182437731316
TRBUSDT,35,0.0,-0.5,60,1.3,0.05,0.1,24,41.66666666666667,-0.0023928182437731316
TRBUSDT,35,0.0,-0.5,65,1.3,0.05,0.1,24,41.66666666666667,-0.0023928182437731316
TRBUSDT,40,0.0,-1.0,60,1.3,0.05,0.1,25,40.0,-0.5358141454639987
TRBUSDT,40,0.0,-1.0,65,1.3,0.05,0.1,25,40.0,-0.5358141454639987
TRBUSDT,40,0.0,-0.5,60,1.3,0.05,0.1,25,40.0,-0.5358141454639987
TRBUSDT,40,0.0,-0.5,65,1.3,0.05,0.1,25,40.0,-0.5358141454639987
LPTUSDT,35,0.0,-1.5,50,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.5,55,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.5,60,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.5,65,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.0,50,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.0,55,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.0,60,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-1.0,65,1.2,0.04,0.08,27,29.629629629629626,0.9883073077200509
LPTUSDT,35,0.0,-0.5,50,1.2,0.04,0.08,28,32.142857142857146,1.429245874344977
LPTUSDT,35,0.0,-0.5,55,1.2,0.04,0.08,28,32.142857142857146,1.429245874344977
LPTUSDT,35,0.0,-0.5,60,1.2,0.04,0.08,28,32.142857142857146,1.429245874344977
LPTUSDT,35,0.0,-0.5,65,1.2,0.04,0.08,28,32.142857142857146,1.429245874344977
LPTUSDT,35,0.5,-1.5,50,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.5,55,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.5,60,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.5,65,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.0,50,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.0,55,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.0,60,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-1.0,65,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-0.5,50,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-0.5,55,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-0.5,60,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,35,0.5,-0.5,65,1.2,0.04,0.08,23,26.08695652173913,-4.085264671035697
LPTUSDT,40,0.0,-1.5,50,1.2,0.04,0.08,30,30.0,0.8142204921083255
LPTUSDT,40,0.0,-1.5,55,1.2,0.04,0.08,30,30.0,0.8142204921083255
LPTUSDT,40,0.0,-1.5,60,1.2,0.04,0.08,30,30.0,0.8142204921083255
LPTUSDT,40,0.0,-1.5,65,1.2,0.04,0.08,30,30.0,0.8142204921083255
