symbol,rsi_th,macd_th,disp_th,total_trades,win_rate,avg_profit
BTCUSDT,20,0.0,-3.0,0,0.0,0.0
BTCUSDT,20,0.0,-2.0,0,0.0,0.0
BTCUSDT,20,0.0,-1.0,0,0.0,0.0
BTCUSDT,20,0.5,-3.0,0,0.0,0.0
BTCUSDT,20,0.5,-2.0,0,0.0,0.0
BTCUSDT,20,0.5,-1.0,0,0.0,0.0
BTCUSDT,20,1.0,-3.0,0,0.0,0.0
BTCUSDT,20,1.0,-2.0,0,0.0,0.0
BTCUSDT,20,1.0,-1.0,0,0.0,0.0
BTCUSDT,25,0.0,-3.0,1,100.0,4.000000000000004
BTCUSDT,25,0.0,-2.0,1,100.0,4.000000000000004
BTCUSDT,25,0.0,-1.0,1,100.0,4.000000000000004
BTCUSDT,25,0.5,-3.0,1,100.0,4.000000000000004
BTCUSDT,25,0.5,-2.0,1,100.0,4.000000000000004
BTCUSDT,25,0.5,-1.0,1,100.0,4.000000000000004
BTCUSDT,25,1.0,-3.0,1,100.0,4.000000000000004
BTCUSDT,25,1.0,-2.0,1,100.0,4.000000000000004
BTCUSDT,25,1.0,-1.0,1,100.0,4.000000000000004
BTCUSDT,30,0.0,-3.0,1,100.0,4.000000000000004
BTCUSDT,30,0.0,-2.0,1,100.0,4.000000000000004
BTCUSDT,30,0.0,-1.0,1,100.0,4.000000000000004
BTCUSDT,30,0.5,-3.0,1,100.0,4.000000000000004
BTCUSDT,30,0.5,-2.0,1,100.0,4.000000000000004
BTCUSDT,30,0.5,-1.0,1,100.0,4.000000000000004
BTCUSDT,30,1.0,-3.0,1,100.0,4.000000000000004
BTCUSDT,30,1.0,-2.0,1,100.0,4.000000000000004
BTCUSDT,30,1.0,-1.0,1,100.0,4.000000000000004
BTCUSDT,35,0.0,-3.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,0.0,-2.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,0.0,-1.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,0.5,-3.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,0.5,-2.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,0.5,-1.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,1.0,-3.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,1.0,-2.0,3,66.66666666666666,2.000000000000002
BTCUSDT,35,1.0,-1.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,0.0,-3.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,0.0,-2.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,0.0,-1.0,3,33.33333333333333,4.440892098500626e-16
BTCUSDT,40,0.5,-3.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,0.5,-2.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,0.5,-1.0,3,33.33333333333333,4.440892098500626e-16
BTCUSDT,40,1.0,-3.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,1.0,-2.0,3,66.66666666666666,2.000000000000002
BTCUSDT,40,1.0,-1.0,3,33.33333333333333,4.440892098500626e-16
ETHUSDT,20,0.0,-3.0,0,0.0,0.0
ETHUSDT,20,0.0,-2.0,0,0.0,0.0
ETHUSDT,20,0.0,-1.0,0,0.0,0.0
ETHUSDT,20,0.5,-3.0,0,0.0,0.0
ETHUSDT,20,0.5,-2.0,0,0.0,0.0
ETHUSDT,20,0.5,-1.0,0,0.0,0.0
ETHUSDT,20,1.0,-3.0,0,0.0,0.0
ETHUSDT,20,1.0,-2.0,0,0.0,0.0
ETHUSDT,20,1.0,-1.0,0,0.0,0.0
ETHUSDT,25,0.0,-3.0,0,0.0,0.0
ETHUSDT,25,0.0,-2.0,0,0.0,0.0
ETHUSDT,25,0.0,-1.0,0,0.0,0.0
ETHUSDT,25,0.5,-3.0,0,0.0,0.0
ETHUSDT,25,0.5,-2.0,0,0.0,0.0
ETHUSDT,25,0.5,-1.0,0,0.0,0.0
ETHUSDT,25,1.0,-3.0,0,0.0,0.0
ETHUSDT,25,1.0,-2.0,0,0.0,0.0
ETHUSDT,25,1.0,-1.0,0,0.0,0.0
ETHUSDT,30,0.0,-3.0,0,0.0,0.0
ETHUSDT,30,0.0,-2.0,0,0.0,0.0
ETHUSDT,30,0.0,-1.0,0,0.0,0.0
ETHUSDT,30,0.5,-3.0,0,0.0,0.0
ETHUSDT,30,0.5,-2.0,0,0.0,0.0
ETHUSDT,30,0.5,-1.0,0,0.0,0.0
ETHUSDT,30,1.0,-3.0,0,0.0,0.0
ETHUSDT,30,1.0,-2.0,0,0.0,0.0
ETHUSDT,30,1.0,-1.0,0,0.0,0.0
ETHUSDT,35,0.0,-3.0,3,100.0,5.333333333333343
ETHUSDT,35,0.0,-2.0,3,100.0,5.333333333333343
ETHUSDT,35,0.0,-1.0,3,100.0,5.333333333333343
ETHUSDT,35,0.5,-3.0,3,100.0,5.333333333333343
ETHUSDT,35,0.5,-2.0,3,100.0,5.333333333333343
ETHUSDT,35,0.5,-1.0,3,100.0,5.333333333333343
ETHUSDT,35,1.0,-3.0,3,100.0,5.333333333333343
ETHUSDT,35,1.0,-2.0,3,100.0,5.333333333333343
ETHUSDT,35,1.0,-1.0,3,100.0,5.333333333333343
ETHUSDT,40,0.0,-3.0,3,100.0,5.333333333333343
ETHUSDT,40,0.0,-2.0,3,100.0,5.333333333333343
ETHUSDT,40,0.0,-1.0,3,100.0,5.333333333333343
ETHUSDT,40,0.5,-3.0,3,100.0,5.333333333333343
ETHUSDT,40,0.5,-2.0,3,100.0,5.333333333333343
ETHUSDT,40,0.5,-1.0,3,100.0,5.333333333333343
ETHUSDT,40,1.0,-3.0,3,100.0,5.333333333333343
ETHUSDT,40,1.0,-2.0,3,100.0,5.333333333333343
ETHUSDT,40,1.0,-1.0,3,100.0,5.333333333333343
SOLUSDT,20,0.0,-3.0,0,0.0,0.0
SOLUSDT,20,0.0,-2.0,0,0.0,0.0
SOLUSDT,20,0.0,-1.0,0,0.0,0.0
SOLUSDT,20,0.5,-3.0,0,0.0,0.0
SOLUSDT,20,0.5,-2.0,0,0.0,0.0
SOLUSDT,20,0.5,-1.0,0,0.0,0.0
SOLUSDT,20,1.0,-3.0,0,0.0,0.0
SOLUSDT,20,1.0,-2.0,0,0.0,0.0
SOLUSDT,20,1.0,-1.0,0,0.0,0.0
SOLUSDT,25,0.0,-3.0,0,0.0,0.0
SOLUSDT,25,0.0,-2.0,0,0.0,0.0
SOLUSDT,25,0.0,-1.0,0,0.0,0.0
SOLUSDT,25,0.5,-3.0,0,0.0,0.0
SOLUSDT,25,0.5,-2.0,0,0.0,0.0
SOLUSDT,25,0.5,-1.0,0,0.0,0.0
SOLUSDT,25,1.0,-3.0,0,0.0,0.0
SOLUSDT,25,1.0,-2.0,0,0.0,0.0
SOLUSDT,25,1.0,-1.0,0,0.0,0.0
SOLUSDT,30,0.0,-3.0,3,66.66666666666666,3.3333333333333375
SOLUSDT,30,0.0,-2.0,3,66.66666666666666,3.3333333333333375
