ma_short,ma_long,rsi_entry,bb_std,trades,win_rate,avg_return,final_balance
20,200,40,2.0,1027,14.703018500486856,-0.6372323433377308,32.94498027096478
20,200,40,2.5,1028,14.688715953307394,-0.6377464322460066,32.61413479634409
7,200,40,2.0,1030,14.854368932038836,-0.6368625360912588,32.59134911234552
50,200,40,2.0,1030,14.660194174757283,-0.6373993451220907,32.46204460486612
7,200,40,2.5,1031,14.83996120271581,-0.637375487793445,32.2640549304424
50,200,40,2.5,1031,14.645974781765275,-0.6379117761559638,32.13604894585774
20,200,40,3.0,1031,14.451988360814743,-0.6400697804389406,31.9230380258424
7,200,40,3.0,1034,14.70019342359768,-0.6396062927619788,31.621668149324456
50,200,40,3.0,1034,14.410058027079303,-0.6402279037721968,31.45508286222998
50,90,40,2.0,1033,14.617618586640852,-0.6390471369177522,31.427479688297343
20,200,50,2.5,1036,14.285714285714285,-0.6396090246432989,31.236577928556418
20,200,50,2.0,1035,14.299516908212562,-0.6398049526728208,31.20174351402797
50,90,40,2.5,1034,14.603481624758222,-0.6395564875987265,31.111873506472673
7,200,50,2.5,1039,14.436958614051973,-0.6389971078802958,30.814034171798212
7,200,50,2.0,1038,14.450867052023122,-0.6391918801286505,30.77967096971881
50,200,50,2.5,1039,14.244465832531281,-0.6402487006270753,30.662800349216358
20,200,60,2.5,1039,14.244465832531281,-0.6395695562654575,30.64659345022795
7,50,50,2.0,1032,14.244186046511627,-0.6436035909133689,30.636412250332736
50,200,50,2.0,1038,14.258188824662813,-0.6404446786487892,30.628605800107533
7,50,50,2.5,1033,14.230396902226525,-0.6438413044388184,30.579573724118216
20,200,60,2.0,1039,14.244465832531281,-0.6398555912313003,30.579038697397333
7,200,60,2.5,1041,14.409221902017292,-0.6387718642050535,30.492272091349303
7,50,40,2.0,1031,14.064015518913674,-0.6442592087745591,30.484175349204193
7,200,60,2.0,1041,14.409221902017292,-0.6390573496320568,30.425057511441054
50,90,40,3.0,1037,14.368370298939247,-0.6420129258412174,30.41367135208155
7,50,60,2.0,1035,14.492753623188406,-0.6406546974062842,30.287639911376953
7,50,60,2.5,1035,14.492753623188406,-0.6407468344456612,30.28271106296047
20,200,50,3.0,1041,14.024975984630164,-0.6424367123789104,30.246200174335094
7,50,40,2.5,1032,14.050387596899224,-0.6447644961120307,30.17687488736561
50,200,60,2.5,1042,14.203454894433781,-0.6402075042043034,30.083653161278484
20,90,40,2.0,1034,14.410058027079303,-0.6442334598079131,30.07538546288146
7,50,50,3.0,1036,14.18918918918919,-0.6457089266433527,30.043700302292503
50,90,50,2.0,1036,14.478764478764477,-0.6420797955833939,30.022348641138898
50,200,60,2.0,1042,14.203454894433781,-0.64049271565297,30.01733930630299
7,50,60,3.0,1037,14.464802314368368,-0.6423327508530757,29.99548544046127
20,200,60,3.0,1043,13.998082454458293,-0.6421036869433985,29.917736158836316
7,200,50,3.0,1044,14.272030651340998,-0.6417335542728032,29.876065809865267
50,90,50,2.5,1037,14.464802314368368,-0.6419937970878257,29.856533755690297
7,90,40,2.0,1036,14.285714285714285,-0.6438428657122466,29.846413320746123
7,200,60,3.0,1045,14.258373205741625,-0.6412182341404843,29.806005830709786
7,50,40,3.0,1034,13.926499032882012,-0.6467770759076212,29.786566969125357
50,200,50,3.0,1044,13.984674329501914,-0.6430651992409189,29.69061461819751
7,90,40,2.5,1037,14.271938283510124,-0.6443461182439081,29.545541918038992
20,90,40,2.5,1036,14.382239382239382,-0.6451170837219972,29.468872666616583
50,200,60,3.0,1046,13.957934990439771,-0.6427319272495586,29.368184083323495
50,90,60,2.0,1040,14.423076923076922,-0.6429330271081622,29.230558939078914
7,90,50,2.5,1039,14.244465832531281,-0.6452698160540945,29.195139334264493
7,90,50,2.0,1038,14.258188824662813,-0.6454546867577595,29.161024864162012
20,50,50,2.5,1040,13.846153846153847,-0.6449926136752737,29.150387597454078
20,50,50,2.0,1039,13.859480269489893,-0.645177039650274,29.116325419679104
7,90,40,3.0,1039,14.148219441770934,-0.6468742260880248,29.046428978399973
50,90,60,2.5,1041,14.409221902017292,-0.6429273319950747,29.044446863621246
20,50,40,2.0,1038,13.872832369942195,-0.6444181554956353,28.99760791219571
20,90,40,3.0,1038,14.258188824662813,-0.6476891825350509,28.95023902154156
50,90,50,3.0,1042,14.203454894433781,-0.6448539628278606,28.904652784770064
7,90,60,2.5,1044,14.17624521072797,-0.6424680913574972,28.804148263436318
7,90,60,2.0,1044,14.17624521072797,-0.6427941697112304,28.72178794021558
20,50,40,2.5,1039,13.859480269489893,-0.6449198856068477,28.705293024174328
7,90,50,3.0,1041,14.121037463976945,-0.6481405448684769,28.618864514123054
20,50,50,3.0,1043,13.7104506232023,-0.6471138156244232,28.582332912794268
20,50,60,2.5,1044,13.88888888888889,-0.6437273379460078,28.550185677501258
20,50,60,2.0,1044,13.88888888888889,-0.6439961500321656,28.48573148814209
7,90,60,3.0,1045,14.066985645933014,-0.64500170598115,28.48060825104709
20,90,50,2.0,1042,14.011516314779271,-0.6463494520236827,28.41599262686852
