type,time,price,position,balance
entry,2024-12-11 08:33:00,98052.83,0.10198583763467102,10000.0
alignment_break,2024-12-11 08:51:00,97888.0,0.10198583763467102,19983.189674382676
entry,2024-12-11 10:50:00,98240.19,0.2034115536053287,19983.189674382676
alignment_break,2024-12-11 11:37:00,98361.42,0.2034115536053287,39991.038931408926
entry,2024-12-11 12:21:00,98390.78,0.40645108140629566,39991.038931408926
alignment_break,2024-12-11 12:25:00,98387.14,0.40645108140629566,79980.59838088154
entry,2024-12-11 12:44:00,98324.0,0.8134392252235623,79980.59838088154
alignment_break,2024-12-11 12:46:00,98320.34,0.8134392252235623,159958.21957419877
entry,2024-12-11 14:04:00,98640.01,1.6216362870826835,159958.21957419877
alignment_break,2024-12-11 14:10:00,98544.55,1.6216362870826835,319761.63774843264
entry,2024-12-11 14:37:00,98951.83,3.2314878638265974,319761.63774843264
half_take_profit,2024-12-11 15:18:00,99946.35,1.6157439319132987,481249.3462778154
alignment_break,2024-12-11 17:58:00,99851.98,1.6157439319132987,642584.5770523434
entry,2024-12-11 19:41:00,100911.81,6.367783682131392,642584.5770523434
alignment_break,2024-12-11 20:14:00,101182.05,6.367783682131392,1286889.9839669461
entry,2024-12-11 20:23:00,101243.99,12.710779019741775,1286889.9839669461
alignment_break,2024-12-11 20:26:00,101311.99,12.710779019741775,2574644.3009072347
entry,2024-12-11 20:31:00,101477.03,25.37169545568327,2574644.3009072347
alignment_break,2024-12-11 20:52:00,101330.01,25.37169545568327,5145558.455148575
entry,2024-12-11 22:10:00,101834.12,50.52882526159774,5145558.455148575
alignment_break,2024-12-11 22:16:00,101486.25,50.52882526159774,10273539.447853398
entry,2024-12-12 03:37:00,101384.45,101.33249672758888,10273539.447853398
alignment_break,2024-12-12 03:39:00,101328.25,101.33249672758888,20541384.009390704
entry,2024-12-12 08:44:00,100911.77,203.55786058842,20541384.009390704
alignment_break,2024-12-12 09:15:00,100991.98,203.55786058842,41099095.394779205
entry,2024-12-12 13:02:00,100835.51,407.58553603566054,41099095.394779205
alignment_break,2024-12-12 13:04:00,100762.92,407.58553603566054,82168604.15549758
entry,2024-12-12 13:10:00,100804.0,815.1323772419505,82168604.15549758
alignment_break,2024-12-12 13:12:00,100750.0,815.1323772419505,164293191.1626241
entry,2024-12-12 13:16:00,100997.99,1626.6976319293492,164293191.1626241
alignment_break,2024-12-12 13:34:00,101226.18,1626.6976319293492,328957578.4578781
entry,2024-12-12 14:24:00,101415.04,3243.676465126653,328957578.4578781
alignment_break,2024-12-12 14:31:00,101315.74,3243.676465126653,657593059.8427691
entry,2024-12-12 14:57:00,101539.62,6476.221398531619,657593059.8427691
alignment_break,2024-12-12 15:09:00,101163.99,6476.221398531619,1312753456.6416078
entry,2024-12-12 15:46:00,101764.86,12899.86992210875,1312753456.6416078
alignment_break,2024-12-12 16:26:00,102090.84,12899.86992210875,2629712012.8804245
entry,2024-12-12 22:49:00,100337.77,26208.595356269372,2629712012.8804245
alignment_break,2024-12-12 23:09:00,100304.71,26208.595356269372,5258557569.598371
entry,2024-12-12 23:11:00,100375.83,52388.68330750909,5258557569.598371
alignment_break,2024-12-12 23:13:00,100293.08,52388.68330750909,10512779975.653046
entry,2024-12-13 00:40:00,100308.43,104804.55107963554,10512779975.653046
alignment_break,2024-12-13 00:47:00,100197.97,104804.55107963554,21013983240.593834
entry,2024-12-13 04:12:00,99829.2,210499.36532190818,21013983240.593834
alignment_break,2024-12-13 04:14:00,99813.07,210499.36532190818,42024571126.42503
entry,2024-12-13 04:20:00,99722.2,421416.4060402301,42024571126.42503
alignment_break,2024-12-13 04:22:00,99726.76,421416.4060402301,84051063911.66162
entry,2024-12-13 04:27:00,99830.11,841941.0127030975,84051063911.66162
alignment_break,2024-12-13 05:24:00,99966.29,841941.0127030975,168216783350.43317
entry,2024-12-13 08:29:00,100294.5,1677228.3958784696,168216783350.43317
alignment_break,2024-12-13 08:41:00,100232.62,1677228.3958784696,336329779807.7294
entry,2024-12-13 09:04:00,100293.24,3353464.0999505986,336329779807.7294
alignment_break,2024-12-13 09:09:00,100160.6,3353464.0999505986,672214756137.2413
entry,2024-12-13 11:03:00,100410.7,6694652.623049549,672214756137.2413
alignment_break,2024-12-13 11:05:00,100345.01,6694652.623049549,1343989740543.6746
entry,2024-12-13 11:12:00,100485.55,13374955.309929384,1343989740543.6746
alignment_break,2024-12-13 11:17:00,100452.0,13374955.309929384,2687530751336.701
entry,2024-12-13 11:23:00,100535.44,26732172.767500706,2687530751336.701
alignment_break,2024-12-13 11:34:00,100497.52,26732172.767500706,5374047818682.059
entry,2024-12-13 14:46:00,100772.72,53328398.98220529,5374047818682.059
alignment_break,2024-12-13 15:09:00,100899.99,53328398.98220529,10754882742702.582
entry,2024-12-13 15:13:00,101242.51,106228922.44278201,10754882742702.582
alignment_break,2024-12-13 15:30:00,101256.63,106228922.44278201,21511265437790.055
entry,2024-12-13 15:36:00,101331.95,212285122.68628064,21511265437790.055
alignment_break,2024-12-13 15:41:00,101050.0,212285122.68628064,42962677085238.72
entry,2024-12-13 17:33:00,101062.45,425110187.66355574,42962677085238.72
alignment_break,2024-12-13 17:34:00,101020.02,425110187.66355574,85907316745214.88
entry,2024-12-13 17:40:00,101466.79,846654523.565936,85907316745214.88
alignment_break,2024-12-13 18:11:00,101590.55,846654523.565936,171919415454266.28
entry,2024-12-14 01:06:00,101966.72,1686034575.342487,171919415454266.28
alignment_break,2024-12-14 01:36:00,102384.0,1686034575.342487,344542379416131.5
entry,2024-12-14 03:18:00,102139.99,3373236862.62483,344542379416131.5
alignment_break,2024-12-14 03:48:00,102196.99,3373236862.62483,689277033333432.6
entry,2024-12-14 15:16:00,101590.91,6784829797.601307,689277033333432.6
alignment_break,2024-12-14 15:31:00,101666.0,6784829797.601307,1379063539536367.0
entry,2024-12-14 15:32:00,101676.39,13563262223.770601,1379063539536367.0
alignment_break,2024-12-14 15:42:00,101672.81,13563262223.770601,2758078522593973.0
entry,2024-12-14 17:15:00,101511.55,27170095645.21449,2758078522593973.0
alignment_break,2024-12-14 17:16:00,101507.27,27170095645.21449,5516040757178584.0
entry,2024-12-14 23:16:00,101258.5,54474841689.12816,5516040757178584.0
alignment_break,2024-12-14 23:51:00,101397.0,54474841689.12816,1.1039626279931112e+16
entry,2024-12-15 00:11:00,101507.16,108757119004.52255,1.1039626279931112e+16
alignment_break,2024-12-15 00:21:00,101419.52,108757119004.52255,2.2069721085952668e+16
entry,2024-12-15 00:29:00,101530.24,217370914182.34277,2.2069721085952668e+16
alignment_break,2024-12-15 00:31:00,101444.44,217370914182.34277,4.412079174746849e+16
entry,2024-12-15 01:36:00,101751.04,433615142876.85406,4.412079174746849e+16
alignment_break,2024-12-15 02:04:00,101948.0,433615142876.85406,8.832698833347802e+16
entry,2024-12-15 04:21:00,102652.0,860450729975.8214,8.832698833347802e+16
alignment_break,2024-12-15 04:34:00,102426.25,860450729975.8214,1.76459729914664e+17
entry,2024-12-15 05:30:00,102438.6,1722590214183.5596,1.76459729914664e+17
alignment_break,2024-12-15 05:35:00,102428.78,1722590214183.5596,3.529025439934247e+17
entry,2024-12-15 09:27:00,102032.6,3458723427545.9478,3.529025439934247e+17
alignment_break,2024-12-15 09:31:00,102041.15,3458723427545.9478,7.058346600721549e+17
entry,2024-12-15 09:40:00,102089.73,6913865479633.993,7.058346600721549e+17
alignment_break,2024-12-15 10:23:00,102257.58,6913865479633.993,1.4128298124650665e+18
entry,2024-12-15 11:43:00,102560.0,13775641697202.287,1.4128298124650665e+18
alignment_break,2024-12-15 12:16:00,102719.25,13775641697202.287,2.827853395870413e+18
entry,2024-12-15 12:22:00,102874.06,27488498032161.004,2.827853395870413e+18
alignment_break,2024-12-15 12:29:00,102741.56,27488498032161.004,5.652064565751564e+18
entry,2024-12-15 12:36:00,102950.0,54901064261792.76,5.652064565751564e+18
alignment_break,2024-12-15 12:51:00,102956.0,54901064261792.76,1.1304458537888698e+19
entry,2024-12-15 14:24:00,103052.35,109696271243583.45,1.1304458537888698e+19
alignment_break,2024-12-15 14:30:00,102863.81,109696271243583.45,2.2588234940797133e+19
entry,2024-12-15 16:25:00,103158.0,218967360173686.3,2.2588234940797133e+19
alignment_break,2024-12-15 16:46:00,103155.99,218967360173686.3,4.517602975720032e+19
entry,2024-12-15 18:44:00,103256.0,437514815189435.2,4.517602975720032e+19
