type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
entry,2024-12-11 07:03:00,97770.69,short,9900.0,99.15334956079705,0.0,False,0,1,2024-12
exit,2024-12-11 13:31:00,98763.19,short,9998.9848695964,,0.009998471676403886,True,1,0,2024-12
entry,2024-12-11 14:00:00,98849.99,short,9898.9848695964,98.14375394227221,-0.010001015233463084,False,0,1,2024-12
exit,2024-12-11 15:11:00,99879.0,short,9997.943888206315,,0.009996885530541233,True,1,0,2024-12
entry,2024-12-11 15:23:00,100429.38,short,9897.943888206315,100.0,-0.010002056534640147,False,0,1,2024-12
exit,2024-12-11 20:30:00,101494.1,short,9996.883720355036,,0.009995998488798286,True,1,0,2024-12
entry,2024-12-11 20:45:00,101624.17,short,9896.883720355036,100.0,-0.010003117251067617,False,0,1,2024-12
exit,2024-12-12 00:49:00,100592.01,short,9997.899384246804,,0.010206815270953351,True,1,0,2024-12
entry,2024-12-12 02:58:00,101778.38,short,9897.899384246804,99.35306618450002,-0.010002101057104529,False,0,1,2024-12
exit,2024-12-12 04:46:00,100683.99,short,9998.97465190188,,0.010211789767831325,True,1,0,2024-12
entry,2024-12-12 06:27:00,100627.02,short,9898.97465190188,100.0,-0.010001025453242773,False,0,1,2024-12
exit,2024-12-12 14:56:00,101706.68,short,9997.901719403233,,0.009993668130299227,True,1,0,2024-12
entry,2024-12-12 16:43:00,101943.99,short,9897.901719403233,100.0,-0.010002098720967356,False,0,1,2024-12
exit,2024-12-12 18:53:00,100917.89,short,9998.908252500476,,0.010204843002152186,True,1,0,2024-12
entry,2024-12-12 20:34:00,99890.3,short,9898.908252500476,100.0,-0.010001091866703837,False,0,1,2024-12
exit,2024-12-13 14:55:00,100898.01,short,9997.899435828587,,0.010000212225737659,True,1,0,2024-12
entry,2024-12-13 14:59:00,101018.12,short,9897.899435828587,99.87213472634056,-0.01000210100550114,False,0,1,2024-12
exit,2024-12-13 15:52:00,99932.27,short,9998.974341993937,,0.010211753192750805,True,1,0,2024-12
entry,2024-12-13 16:51:00,101170.33,short,9898.974341993937,100.0,-0.010001025763214266,False,0,1,2024-12
exit,2024-12-14 01:17:00,102322.34,short,9997.835658350225,,0.009987026225221518,True,1,0,2024-12
