type,time,price,position,balance,pnl,win,win_streak,lose_streak,month
entry,2024-12-13 04:45:00,100000.46,long,10000.0,0.0,False,0,1,2024-12
exit,2024-12-13 14:45:00,101018.12,long,10101.765531878553,0.010176553187855264,True,1,0,2024-12
entry,2024-12-13 15:00:00,101220.62,long,10101.765531878553,0.0,False,0,1,2024-12
exit,2024-12-13 15:45:00,99873.16,long,9967.289720689241,-0.013312109726259291,False,0,2,2024-12
entry,2024-12-13 16:30:00,100897.01,long,9967.289720689241,0.0,False,0,3,2024-12
exit,2024-12-14 01:00:00,101918.86,long,10068.234981615075,0.010127653931469416,True,1,0,2024-12
entry,2024-12-14 01:15:00,102580.82,long,10068.234981615075,0.0,False,0,1,2024-12
exit,2024-12-14 09:45:00,101551.28,long,9967.18635826646,-0.010036379120385353,False,0,2,2024-12
entry,2024-12-14 14:00:00,101421.15,long,9967.18635826646,0.0,False,0,3,2024-12
exit,2024-12-15 04:15:00,102612.58,long,10084.27440984968,0.011747352499947183,True,1,0,2024-12
entry,2024-12-15 04:30:00,102227.27,long,10084.27440984968,0.0,False,0,1,2024-12
exit,2024-12-15 12:30:00,103258.43,long,10185.993847338917,0.010086936685289372,True,1,0,2024-12
entry,2024-12-15 12:45:00,102946.54,long,10185.993847338917,0.0,False,0,1,2024-12
exit,2024-12-15 23:15:00,104788.22,long,10368.21795267327,0.017889673611177326,True,1,0,2024-12
entry,2024-12-15 23:30:00,104720.25,long,10368.21795267327,0.0,False,0,1,2024-12
exit,2024-12-16 00:30:00,105897.99,long,10484.824483039474,0.011246535412205327,True,1,0,2024-12
entry,2024-12-16 00:45:00,105444.95,long,10484.824483039474,0.0,False,0,1,2024-12
exit,2024-12-16 11:30:00,104103.44,long,10351.432633621913,-0.012722373143521759,False,0,2,2024-12
entry,2024-12-16 14:00:00,104198.85,long,10351.432633621913,0.0,False,0,3,2024-12
exit,2024-12-16 14:30:00,105388.32,long,10469.59822349852,0.011415385102618636,True,1,0,2024-12
entry,2024-12-16 14:45:00,105487.0,long,10469.59822349852,0.0,False,0,1,2024-12
exit,2024-12-16 16:00:00,106598.66,long,10579.9306204871,0.010538360177083428,True,1,0,2024-12
entry,2024-12-16 16:15:00,106760.0,long,10579.9306204871,0.0,False,0,1,2024-12
exit,2024-12-16 23:15:00,105554.32,long,10460.447567372556,-0.011293368302735085,False,0,2,2024-12
entry,2024-12-17 07:15:00,107137.92,long,10460.447567372556,0.0,False,0,3,2024-12
exit,2024-12-17 14:45:00,108258.39,long,10569.845040142365,0.01045820191394431,True,1,0,2024-12
entry,2024-12-17 16:00:00,107035.99,long,10569.845040142365,0.0,False,0,1,2024-12
exit,2024-12-17 22:15:00,105861.41,long,10453.85481491765,-0.010973692119818801,False,0,2,2024-12
entry,2024-12-18 14:30:00,104489.44,long,10453.85481491765,0.0,False,0,3,2024-12
exit,2024-12-18 19:45:00,102817.82,long,10286.614251797466,-0.01599798027437027,False,0,4,2024-12
entry,2024-12-19 08:45:00,101640.4,long,10286.614251797466,0.0,False,0,5,2024-12
exit,2024-12-19 15:15:00,99916.23,long,10112.117971828855,-0.016963431863707745,False,0,6,2024-12
entry,2024-12-19 16:30:00,101098.12,long,10112.117971828855,0.0,False,0,7,2024-12
exit,2024-12-19 17:15:00,99530.46,long,9955.316214687207,-0.015506321977104887,False,0,8,2024-12
entry,2024-12-19 18:45:00,98932.73,long,9955.316214687207,0.0,False,0,9,2024-12
exit,2024-12-19 19:30:00,96916.07,long,9752.385516246854,-0.0203841539599684,False,0,10,2024-12
entry,2024-12-20 07:00:00,98039.82,long,9752.385516246854,0.0,False,0,11,2024-12
exit,2024-12-20 08:15:00,96640.49,long,9613.188956885058,-0.014273078020747065,False,0,12,2024-12
entry,2024-12-20 12:15:00,93643.6,long,9613.188956885058,0.0,False,0,13,2024-12
exit,2024-12-20 13:30:00,95480.35,long,9801.744552959522,0.019614260878479728,True,1,0,2024-12
entry,2024-12-20 22:45:00,97463.93,long,9801.744552959522,0.0,False,0,1,2024-12
exit,2024-12-21 05:45:00,98691.98,long,9925.246985072223,0.012600045986243424,True,1,0,2024-12
entry,2024-12-21 06:00:00,98802.05,long,9925.246985072223,0.0,False,0,1,2024-12
exit,2024-12-21 12:30:00,97505.51,long,9795.001917019226,-0.013122602213213153,False,0,2,2024-12
entry,2024-12-21 18:30:00,97512.55,long,9795.001917019226,0.0,False,0,3,2024-12
exit,2024-12-22 04:30:00,96375.14,long,9680.750642383942,-0.011664242192415242,False,0,4,2024-12
entry,2024-12-22 05:15:00,96290.11,long,9680.750642383942,0.0,False,0,5,2024-12
exit,2024-12-22 11:15:00,97258.31,long,9778.090886069987,0.010055030573752566,True,1,0,2024-12
entry,2024-12-22 11:30:00,97279.99,long,9778.090886069987,0.0,False,0,1,2024-12
exit,2024-12-22 14:15:00,95848.01,long,9634.155523956622,-0.014720190657914412,False,0,2,2024-12
entry,2024-12-22 18:15:00,96184.93,long,9634.155523956622,0.0,False,0,3,2024-12
exit,2024-12-22 19:45:00,94836.55,long,9499.09795698233,-0.014018620172619567,False,0,4,2024-12
entry,2024-12-22 20:45:00,95592.49,long,9499.09795698233,0.0,False,0,5,2024-12
exit,2024-12-23 14:30:00,94290.41,long,9369.709283585209,-0.01362115371197048,False,0,6,2024-12
entry,2024-12-23 22:15:00,94947.7,long,9369.709283585209,0.0,False,0,7,2024-12
exit,2024-12-24 02:00:00,93925.0,long,9268.786336696316,-0.010771192983084377,False,0,8,2024-12
entry,2024-12-24 03:45:00,94348.75,long,9268.786336696316,0.0,False,0,9,2024-12
exit,2024-12-24 13:45:00,96085.02,long,9439.35685991804,0.018402681540560906,True,1,0,2024-12
entry,2024-12-24 14:00:00,96252.67,long,9439.35685991804,0.0,False,0,1,2024-12
exit,2024-12-24 14:45:00,97465.06,long,9558.254152464793,0.0125959103264357,True,1,0,2024-12
entry,2024-12-24 15:00:00,97568.86,long,9558.254152464793,0.0,False,0,1,2024-12
exit,2024-12-24 17:00:00,98893.74,long,9688.04494597737,0.01357892261936855,True,1,0,2024-12
entry,2024-12-25 03:30:00,98150.01,long,9688.04494597737,0.0,False,0,1,2024-12
exit,2024-12-25 19:30:00,99206.66,long,9792.34317979484,0.010765663701919115,True,1,0,2024-12
entry,2024-12-25 19:45:00,99018.52,long,9792.34317979484,0.0,False,0,1,2024-12
exit,2024-12-26 07:30:00,97987.2,long,9690.351760733172,-0.010415425316395388,False,0,2,2024-12
entry,2024-12-26 21:30:00,95869.14,long,9690.351760733172,0.0,False,0,3,2024-12
exit,2024-12-27 07:30:00,94900.01,long,9592.393120425359,-0.0101088838389497,False,0,4,2024-12
entry,2024-12-27 08:00:00,96020.49,long,9592.393120425359,0.0,False,0,5,2024-12
